"species","cultivar","location","flowering_f50","year","yday","split","ncal"
"Apricot","Bulida","Cieza","3/3/2020",2020,63,"Calibration","full"
"Apricot","Bulida","Cieza","3/14/2003",2003,73,"Calibration","full"
"Apricot","Bulida","Cieza","3/8/2019",2019,67,"Calibration","full"
"Apricot","Bulida","Cieza","3/5/2015",2015,64,"Calibration","scarce"
"Apricot","Bulida","Cieza","3/4/2016",2016,64,"Calibration","scarce"
"Apricot","Bulida","Cieza","3/12/2018",2018,71,"Calibration","scarce"
"Apricot","Bulida","Cieza","3/3/2020",2020,63,"Calibration","scarce"
"Apricot","Bulida","Cieza","3/8/2017",2017,67,"Calibration","scarce"
"Apricot","Bulida","Cieza","3/14/2003",2003,73,"Calibration","scarce"
"Apricot","Bulida","Cieza","3/21/2010",2010,80,"Calibration","scarce"
"Apricot","Bulida","Cieza","3/14/2012",2012,74,"Calibration","scarce"
"Apricot","Bulida","Cieza","3/8/2019",2019,67,"Calibration","scarce"
"Apricot","Bulida","Cieza","3/10/2006",2006,69,"Calibration","scarce"
"Apricot","Bulida","Cieza","3/4/2021",2021,63,"Validation","full"
"Apricot","Bulida","Cieza","3/8/2009",2009,67,"Validation","full"
"Apricot","Bulida","Cieza","3/3/2008",2008,63,"Validation","full"
"Apricot","Bulida","Cieza","3/1/2007",2007,60,"Validation","full"
"Apricot","Bulida","Cieza","3/20/2005",2005,79,"Validation","full"
"Apricot","Bulida","Cieza","3/8/2022",2022,67,"Validation","full"
"Apricot","Bulida","Cieza","3/4/2021",2021,63,"Validation","scarce"
"Apricot","Bulida","Cieza","3/8/2009",2009,67,"Validation","scarce"
"Apricot","Bulida","Cieza","3/3/2008",2008,63,"Validation","scarce"
"Apricot","Bulida","Cieza","3/1/2007",2007,60,"Validation","scarce"
"Apricot","Bulida","Cieza","3/20/2005",2005,79,"Validation","scarce"
"Apricot","Bulida","Cieza","3/6/2004",2004,66,"Validation","scarce"
"Apricot","Bulida","Cieza","3/8/2022",2022,67,"Validation","scarce"
"Apricot","Bulida","Cieza","3/4/2011",2011,63,"Validation","scarce"
"Apricot","Bulida","Cieza","3/9/2013",2013,68,"Validation","scarce"
"Apricot","Bulida","Cieza","3/5/2014",2014,64,"Validation","scarce"
"Apricot","Bulida","Cieza","3/9/2015",2015,68,"Validation","scarce"
"Apricot","Dorada","Cieza","3/28/2022",2022,87,"Calibration","full"
"Apricot","Dorada","Cieza","3/22/2003",2003,81,"Calibration","full"
"Apricot","Dorada","Cieza","3/5/2021",2021,64,"Calibration","full"
"Apricot","Dorada","Cieza","3/11/2011",2011,70,"Calibration","full"
"Apricot","Dorada","Cieza","3/22/2018",2018,81,"Calibration","full"
"Apricot","Dorada","Cieza","3/10/2008",2008,70,"Calibration","full"
"Apricot","Dorada","Cieza","3/8/2009",2009,67,"Calibration","full"
"Apricot","Dorada","Cieza","3/12/2015",2015,71,"Calibration","full"
"Apricot","Dorada","Cieza","4/2/2016",2016,93,"Calibration","full"
"Apricot","Dorada","Cieza","3/16/2007",2007,75,"Calibration","full"
"Apricot","Dorada","Cieza","3/12/2014",2014,71,"Calibration","full"
