"predicted","species","cultivar","ncal","split","location","year","fit","observed"
50.29,"Almond","Marcona","full","Calibration","Meknes",1983,"single",50
49.21,"Almond","Marcona","full","Calibration","Meknes",1996,"single",62
23.92,"Almond","Marcona","full","Validation","Meknes",1977,"single",41
44.25,"Almond","Marcona","full","Validation","Meknes",1980,"single",45
56.38,"Almond","Marcona","full","Validation","Meknes",1981,"single",48
52.92,"Almond","Marcona","full","Validation","Meknes",1987,"single",56
62.96,"Almond","Marcona","full","Validation","Meknes",1995,"single",61
51.42,"Almond","Marcona","full","Validation","Meknes",2000,"single",38
27.25,"Almond","Marcona","full","Validation","Meknes",2001,"single",36
61.12,"Almond","Marcona","full","Validation","Meknes",2006,"single",46
43.46,"Almond","Marcona","full","Validation","Meknes",2009,"single",41
50.17,"Almond","Marcona","full","Validation","Meknes",2013,"single",45
74.04,"Almond","Mazzetto","full","Calibration","Sfax",2013,"single",80
68.08,"Almond","Mazzetto","full","Calibration","Sfax",1982,"single",67
73.54,"Almond","Mazzetto","full","Calibration","Sfax",1993,"single",75
75.79,"Almond","Mazzetto","full","Calibration","Sfax",2005,"single",78
59.33,"Almond","Mazzetto","full","Calibration","Sfax",1999,"single",60
69.17,"Almond","Mazzetto","full","Calibration","Sfax",2001,"single",66
60,"Almond","Mazzetto","full","Calibration","Sfax",2002,"single",61
59.04,"Almond","Mazzetto","full","Calibration","Sfax",1992,"single",57
70.46,"Almond","Mazzetto","full","Calibration","Sfax",2015,"single",63
60.92,"Almond","Mazzetto","full","Calibration","Sfax",2006,"single",65
62.96,"Almond","Mazzetto","full","Calibration","Sfax",1991,"single",64
61.33,"Almond","Mazzetto","full","Calibration","Sfax",1986,"single",63
67.96,"Almond","Mazzetto","full","Calibration","Sfax",1998,"single",70
73.12,"Almond","Mazzetto","full","Calibration","Sfax",1996,"single",73
62.5,"Almond","Mazzetto","full","Calibration","Sfax",2008,"single",61
58.46,"Almond","Mazzetto","full","Calibration","Sfax",2014,"single",57
62.08,"Almond","Mazzetto","full","Validation","Sfax",1981,"single",68
57.67,"Almond","Mazzetto","full","Validation","Sfax",1987,"single",57
63.25,"Almond","Mazzetto","full","Validation","Sfax",1995,"single",60
72.92,"Almond","Mazzetto","full","Validation","Sfax",2003,"single",77
71.17,"Almond","Mazzetto","full","Validation","Sfax",2004,"single",62
77.29,"Almond","Mazzetto","full","Validation","Sfax",2012,"single",78
65.38,"Almond","Nonpareil","full","Calibration","Sfax",2013,"single",76
63.96,"Almond","Nonpareil","full","Calibration","Sfax",1982,"single",65
71.92,"Almond","Nonpareil","full","Calibration","Sfax",1993,"single",73
72.04,"Almond","Nonpareil","full","Calibration","Sfax",2005,"single",78
55.04,"Almond","Nonpareil","full","Calibration","Sfax",1999,"single",57
61.08,"Almond","Nonpareil","full","Calibration","Sfax",2001,"single",62
59.29,"Almond","Nonpareil","full","Calibration","Sfax",2002,"single",60
58.5,"Almond","Nonpareil","full","Calibration","Sfax",1992,"single",62
48.25,"Almond","Nonpareil","full","Calibration","Sfax",2014,"single",43
59.42,"Almond","Nonpareil","full","Calibration","Sfax",2008,"single",59
59.21,"Almond","Nonpareil","full","Calibration","Sfax",1991,"single",60
55.08,"Almond","Nonpareil","full","Calibration","Sfax",1986,"single",56
61,"Almond","Nonpareil","full","Calibration","Sfax",1998,"single",58
