"Temperature","Chill_response","Heat_response","species","cultivar","fit","n_cal"
15.4,0,0.891575288466545,"Almond","Achaak","single","scarce"
15.5,0,0.905385080986968,"Almond","Achaak","single","scarce"
15.6,0,0.918346516457193,"Almond","Achaak","single","scarce"
15.7,0,0.930432470235299,"Almond","Achaak","single","scarce"
15.8,0,0.941617649816512,"Almond","Achaak","single","scarce"
15.9,0,0.951878647763311,"Almond","Achaak","single","scarce"
16,0,0.961193990690614,"Almond","Achaak","single","scarce"
16.1,0,0.969544184203542,"Almond","Achaak","single","scarce"
16.2,0,0.976911753693704,"Almond","Achaak","single","scarce"
16.3,0,0.983281280908646,"Almond","Achaak","single","scarce"
16.4,0,0.988639436217919,"Almond","Achaak","single","scarce"
16.5,0,0.992975006508249,"Almond","Achaak","single","scarce"
16.6,0,0.996278918649432,"Almond","Achaak","single","scarce"
16.7,0,0.998544258481847,"Almond","Achaak","single","scarce"
16.8,0,0.999766285285847,"Almond","Achaak","single","scarce"
16.9,0,0.997277127556998,"Almond","Achaak","single","scarce"
17,0,0.989067533332809,"Almond","Achaak","single","scarce"
17.1,0,0.980858675963207,"Almond","Achaak","single","scarce"
17.2,0,0.972651108729936,"Almond","Achaak","single","scarce"
17.3,0,0.964445384827783,"Almond","Achaak","single","scarce"
17.4,0,0.956242057327292,"Almond","Achaak","single","scarce"
17.5,0,0.94804167913749,"Almond","Achaak","single","scarce"
17.6,0,0.939844802968619,"Almond","Achaak","single","scarce"
17.7,0,0.931651981294882,"Almond","Achaak","single","scarce"
17.8,0,0.923463766317206,"Almond","Achaak","single","scarce"
17.9,0,0.915280709926025,"Almond","Achaak","single","scarce"
18,0,0.907103363664081,"Almond","Achaak","single","scarce"
18.1,0,0.89893227868925,"Almond","Achaak","single","scarce"
18.2,0,0.890768005737394,"Almond","Achaak","single","scarce"
18.3,0,0.88261109508524,"Almond","Achaak","single","scarce"
18.4,0,0.874462096513291,"Almond","Achaak","single","scarce"
