species,cultivar,location,climatic_classification,climatic_data,year,dormancy_break_field,breaking_dormancy_40_baggiolini,begin_flowering_f5,flowering_f50,flowering_f90,end_flowering,ripening,bud_drop,flower_anomaly,spring_frost_damage,productivity,fruit_quality,rootstock,plantation_framework,training_system,irrigation_system,source,comment,country
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2019,NA,NA,NA,2/28/2019,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2020,NA,NA,NA,2/24/2020,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2021,NA,NA,NA,2/24/2021,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Pandora,Zaragoza,Arid Cold steppe ,Yes,2022,NA,NA,NA,2/28/2022,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Stark E. Orange,Zaragoza,Arid Cold steppe ,Yes,1999,NA,NA,NA,3/9/1999,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Stark E. Orange,Zaragoza,Arid Cold steppe ,Yes,2000,NA,NA,NA,2/29/2000,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Stark E. Orange,Zaragoza,Arid Cold steppe ,Yes,2001,NA,NA,NA,3/21/2001,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Stark E. Orange,Zaragoza,Arid Cold steppe ,Yes,2002,NA,NA,NA,2/28/2002,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Stark E. Orange,Zaragoza,Arid Cold steppe ,Yes,2003,NA,NA,NA,3/19/2003,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Stark E. Orange,Zaragoza,Arid Cold steppe ,Yes,2004,NA,NA,NA,3/20/2004,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Stark E. Orange,Zaragoza,Arid Cold steppe ,Yes,2005,NA,NA,NA,3/19/2005,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Stark E. Orange,Zaragoza,Arid Cold steppe ,Yes,2006,NA,NA,NA,3/11/2006,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Stark E. Orange,Zaragoza,Arid Cold steppe ,Yes,2009,NA,NA,NA,3/6/2009,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
