"species","cultivar","location","year","flowering_f50","yday","cult_loc","r","split","ncal"
"Almond","Nonpareil","Sfax",2014,"2/12/2014",43,"Nonpareil-Sfax",1,"Calibration","full"
"Almond","Nonpareil","Sfax",2008,"2/28/2008",59,"Nonpareil-Sfax",1,"Calibration","full"
"Almond","Nonpareil","Sfax",1991,"3/1/1991",60,"Nonpareil-Sfax",1,"Calibration","full"
"Almond","Nonpareil","Sfax",1986,"2/25/1986",56,"Nonpareil-Sfax",1,"Calibration","full"
"Almond","Nonpareil","Sfax",1998,"2/27/1998",58,"Nonpareil-Sfax",1,"Calibration","full"
"Almond","Nonpareil","Sfax",1996,"2/22/1996",53,"Nonpareil-Sfax",1,"Calibration","full"
"Almond","Nonpareil","Sfax",2012,"3/7/2012",67,"Nonpareil-Sfax",1,"Calibration","full"
"Almond","Nonpareil","Sfax",2016,"3/5/2016",65,"Nonpareil-Sfax",1,"Calibration","full"
"Almond","Nonpareil","Sfax",1987,"2/21/1987",52,"Nonpareil-Sfax",1,"Calibration","full"
"Almond","Tuono","Meknes",1975,"2/25/1975",56,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",2012,"2/27/2012",58,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1989,"3/3/1989",62,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1995,"3/5/1995",64,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1985,"2/25/1985",56,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",2005,"2/28/2005",59,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1982,"3/2/1982",61,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1983,"3/5/1983",64,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1999,"3/14/1999",73,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1994,"3/4/1994",63,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",2001,"2/28/2001",59,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1976,"3/5/1976",65,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1981,"2/28/1981",59,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1996,"3/6/1996",66,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1988,"3/2/1988",62,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1990,"3/6/1990",65,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1991,"3/6/1991",65,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",2003,"3/3/2003",62,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",2011,"3/4/2011",63,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",2008,"3/2/2008",62,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",2000,"2/25/2000",56,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1986,"3/6/1986",65,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",2006,"3/1/2006",60,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1987,"3/1/1987",60,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1980,"2/21/1980",52,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",1998,"3/10/1998",69,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",2010,"3/1/2010",60,"Tuono-Meknes",1,"Calibration","full"
"Almond","Tuono","Meknes",2002,"3/1/2002",60,"Tuono-Meknes",1,"Calibration","full"
