"species","cultivar","yday","year","split","ncal","location","loc.year"
"Almond","Tuono",52,1980,"Calibration","full","Meknes","Meknes.1980"
"Almond","Tuono",69,1998,"Calibration","full","Meknes","Meknes.1998"
"Almond","Tuono",60,2010,"Calibration","full","Meknes","Meknes.2010"
"Almond","Tuono",60,2002,"Calibration","full","Meknes","Meknes.2002"
"Almond","Tuono",63,1997,"Calibration","full","Meknes","Meknes.1997"
"Almond","Tuono",78,1984,"Calibration","full","Meknes","Meknes.1984"
"Almond","Achaak",33,2007,"Calibration","scarce","Santomera","Santomera.2007"
"Almond","Achaak",31,1998,"Calibration","scarce","Santomera","Santomera.1998"
"Almond","Achaak",22,2012,"Calibration","scarce","Santomera","Santomera.2012"
"Almond","Achaak",31,2011,"Calibration","scarce","Santomera","Santomera.2011"
"Almond","Achaak",26,2017,"Calibration","scarce","Santomera","Santomera.2017"
"Almond","Achaak",28,2019,"Calibration","scarce","Santomera","Santomera.2019"
"Almond","Achaak",30,2006,"Calibration","scarce","Santomera","Santomera.2006"
"Almond","Achaak",28,1997,"Calibration","scarce","Santomera","Santomera.1997"
"Almond","Achaak",18,2013,"Calibration","scarce","Santomera","Santomera.2013"
"Almond","Achaak",29,2018,"Calibration","scarce","Santomera","Santomera.2018"
"Almond","Desmayo",20,2020,"Calibration","scarce","Santomera","Santomera.2020"
"Almond","Desmayo",31,1998,"Calibration","scarce","Santomera","Santomera.1998"
"Almond","Desmayo",36,2007,"Calibration","scarce","Santomera","Santomera.2007"
"Almond","Desmayo",28,2016,"Calibration","scarce","Santomera","Santomera.2016"
"Almond","Desmayo",31,2011,"Calibration","scarce","Santomera","Santomera.2011"
"Almond","Desmayo",30,2012,"Calibration","scarce","Santomera","Santomera.2012"
"Almond","Desmayo",21,2013,"Calibration","scarce","Santomera","Santomera.2013"
"Almond","Desmayo",34,2006,"Calibration","scarce","Santomera","Santomera.2006"
"Almond","Desmayo",31,2019,"Calibration","scarce","Santomera","Santomera.2019"
"Almond","Desmayo",29,2018,"Calibration","scarce","Santomera","Santomera.2018"
"Almond","Fasciuneddu",76,2013,"Calibration","scarce","Sfax","Sfax.2013"
